Company,Position,Skill,Location
가인지캠퍼스,주니어 어플리케이션 개발자,"['Android', 'iOS', 'JavaScript', 'TypeScript', 'AWS', 'NodeJS', 'React Native']",서울.한국
네비웍스,윈도우 응용 프로그래머 (C++),null,경기.한국
투썬플랫폼,"닷넷/닷넷코어(.NET Core, .NET 6) 크로스플랫폼 모바일 개발",null,경기.한국
알피니언메디칼시스템,SW개발 UE파트/AOP-acoustic output power엔지니어,"['C / C++', '의료 장비', '의료 기기', '임베디드 시스템', 'PCB 디자인', '의료 영상', 'Windows 서비스', '제어 시스템 설계', 'EMC Storage', 'PCB 레이아웃 설계', 'EMC 규정 준수']",서울.한국
에임(AIM),소프트웨어 엔지니어,"['Github', 'JavaScript', 'Next.js']",서울.한국
카르도,백엔드 개발자 (Back-end Developer),null,서울.한국
라이프시맨틱스,JAVA 개발,null,서울.한국
에스오티글로벌,보안컨설팅,"['보안', '취약점 스캐닝']",서울.한국
배달로나라를구하신,[배달플랫폼실] Java Server 개발자,"['Android', 'React', 'Delphi', 'Java', 'Kotlin', 'SQL', 'AWS', 'NodeJS']",경기.한국
배달로나라를구하신,[배달플랫폼실] Android 개발자,"['Android', 'React', 'Delphi', 'Java', 'Kotlin', 'SQL', 'AWS', 'NodeJS']",경기.한국
토기,웹 프론트엔드 엔지니어,null,서울.한국
토기,안드로이드(Android) 엔지니어,null,서울.한국
토기,iOS 엔지니어,null,서울.한국
토기,백엔드 엔지니어,null,서울.한국
이매지니어스,웹 개발자,"['iOS', 'Swift']",서울.한국
띵킹프렌즈,[신입] 프론트엔드 개발(flutter),"['Git', 'Firebase', 'C#', 'Python', 'AWS', 'Flutter']",서울.한국
띵킹프렌즈,프론트엔드 개발(flutter),"['Git', 'Firebase', 'C#', 'Python', 'AWS', 'Flutter']",서울.한국
에듀템,인공지능 기술개발 및 연구,"['JavaScript', 'HTML5', 'CSS 자바 스크립트']",서울.한국
로드위,웹 서비스 기획자,"['MySQL', 'HTML', 'Spring Framework']",서울.한국
지니뮤직(geniemusic),Back-End 개발,null,서울.한국
레디포스트,프론트엔드 개발자,"['Git', 'jQuery', 'HTML5', 'CSS3', 'React.js']",서울.한국
에스지헬스케어,의료기기 영상처리 개발(용인근무),"['MATLAB', '.NET', 'C#', 'Python', 'C', 'C++', 'WPF', 'MFC']",경기.한국
에프에이솔루션,AI 데이터 분석/모델 개발 및 관련 어플리케이션 개발,"['Android', 'iOS', 'Linux', 'React', 'Java', 'JavaScript', 'Kotlin', 'Python', 'SQL', 'Spring Framework']",서울.한국
모니터랩,웹개발자 (PHP 중심),"['Git', 'React', 'VueJS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Go']",서울.한국
세포아소프트,솔루션(구매/회계) 개발엔지니어,"['Git', 'MySQL', 'Oracle', 'Java', 'Python', 'jQuery', 'Eclipse', '프론트엔드 개발자', '백엔드 개발', 'MSSQL']",서울.한국
한패스,경영관리실/재무관리팀 정산관리(개발)자,"['Java', 'Spring Framework', 'JPA']",서울.한국
영림원소프트랩,Flextudio 프론트엔드 개발자,"['CSS', 'HTML', 'JavaScript']",서울.한국
트레슬(trestle),Salesforce Dev,"['Salesforce.com', 'Github', 'Python', 'SQL', 'Tableau', 'CRM 소프트웨어']",서울.한국
에이엠텔레콤,SW Application 개발,"['Android', 'Linux', 'C / C++', 'Python', '프로토콜 개발']",경기.한국
윈스,전문연구요원 웹 개발자,"['AngularJS', 'Linux', 'MySQL', 'React', 'C / C++', 'Java', 'Node.js', 'PHP', 'Python', 'RDBMS', 'RabbitMQ', 'Vue.JS']",서울.한국
윈스,전문연구요원 JAVA 개발자,"['AngularJS', 'Linux', 'MySQL', 'React', 'C / C++', 'Java', 'Node.js', 'PHP', 'Python', 'RDBMS', 'RabbitMQ', 'Vue.JS']",서울.한국
아이넥스코퍼레이션,메디컬 인공지능 엔지니어 (AI Engineer),null,서울.한국
